filename,region,x,y,block_x,block_y,split,positive_fraction
EstuariesA_0_1920.npy,EstuariesA,0,1920,0,1,test,0.08799744
EstuariesA_0_2048.npy,EstuariesA,0,2048,0,1,test,0.03047180
EstuariesA_1024_3072.npy,EstuariesA,1024,3072,0,1,test,0.00000000
EstuariesA_11136_13184.npy,EstuariesA,11136,13184,5,6,train,0.00000000
EstuariesA_11392_13696.npy,EstuariesA,11392,13696,5,6,train,0.00000000
EstuariesA_11392_13824.npy,EstuariesA,11392,13824,5,6,train,0.01567078
EstuariesA_11520_13824.npy,EstuariesA,11520,13824,5,6,train,0.01567078
EstuariesA_11520_13952.npy,EstuariesA,11520,13952,5,6,train,0.11811829
EstuariesA_11520_14080.npy,EstuariesA,11520,14080,5,6,train,0.10990906
EstuariesA_11520_14208.npy,EstuariesA,11520,14208,5,7,train,0.32154846
EstuariesA_11520_14336.npy,EstuariesA,11520,14336,5,7,train,0.38597107
EstuariesA_11648_13696.npy,EstuariesA,11648,13696,5,6,train,0.00000000
EstuariesA_11648_13952.npy,EstuariesA,11648,13952,5,6,train,0.00839233
EstuariesA_11648_14080.npy,EstuariesA,11648,14080,5,6,train,0.01585388
EstuariesA_11648_14208.npy,EstuariesA,11648,14208,5,7,train,0.22505188
EstuariesA_11648_14336.npy,EstuariesA,11648,14336,5,7,train,0.34759521
EstuariesA_11776_14208.npy,EstuariesA,11776,14208,5,7,train,0.02720642
EstuariesA_11776_14336.npy,EstuariesA,11776,14336,5,7,train,0.10678101
EstuariesA_11776_14464.npy,EstuariesA,11776,14464,5,7,train,0.07957458
EstuariesA_11904_13952.npy,EstuariesA,11904,13952,5,6,train,0.00000000
EstuariesA_11904_14208.npy,EstuariesA,11904,14208,5,7,train,0.00000000
EstuariesA_12160_15616.npy,EstuariesA,12160,15616,6,7,train,0.01329041
EstuariesA_12160_16384.npy,EstuariesA,12160,16384,6,8,train,0.06126404
